candidate_id,R1,R2,R3,ligand_smiles
P_0337,pOMePh,pFPh,pCF3Ph,P(c1ccc(OC)cc1)(c1ccc(F)cc1)c1ccc(C(F)(F)F)cc1
P_0338,pOMePh,pFPh,pCNPh,P(c1ccc(OC)cc1)(c1ccc(F)cc1)c1ccc(C#N)cc1
P_0339,pOMePh,pClPh,pClPh,P(c1ccc(OC)cc1)(c1ccc(Cl)cc1)c1ccc(Cl)cc1
P_0340,pOMePh,pClPh,pCF3Ph,P(c1ccc(OC)cc1)(c1ccc(Cl)cc1)c1ccc(C(F)(F)F)cc1
P_0341,pOMePh,pClPh,pCNPh,P(c1ccc(OC)cc1)(c1ccc(Cl)cc1)c1ccc(C#N)cc1
P_0342,pOMePh,pCF3Ph,pCF3Ph,P(c1ccc(OC)cc1)(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1
P_0343,pOMePh,pCF3Ph,pCNPh,P(c1ccc(OC)cc1)(c1ccc(C(F)(F)F)cc1)c1ccc(C#N)cc1
P_0344,pOMePh,pCNPh,pCNPh,P(c1ccc(OC)cc1)(c1ccc(C#N)cc1)c1ccc(C#N)cc1
P_0345,pFPh,pFPh,pFPh,P(c1ccc(F)cc1)(c1ccc(F)cc1)c1ccc(F)cc1
P_0346,pFPh,pFPh,pClPh,P(c1ccc(F)cc1)(c1ccc(F)cc1)c1ccc(Cl)cc1
P_0347,pFPh,pFPh,pCF3Ph,P(c1ccc(F)cc1)(c1ccc(F)cc1)c1ccc(C(F)(F)F)cc1
P_0348,pFPh,pFPh,pCNPh,P(c1ccc(F)cc1)(c1ccc(F)cc1)c1ccc(C#N)cc1
P_0349,pFPh,pClPh,pClPh,P(c1ccc(F)cc1)(c1ccc(Cl)cc1)c1ccc(Cl)cc1
P_0350,pFPh,pClPh,pCF3Ph,P(c1ccc(F)cc1)(c1ccc(Cl)cc1)c1ccc(C(F)(F)F)cc1
P_0351,pFPh,pClPh,pCNPh,P(c1ccc(F)cc1)(c1ccc(Cl)cc1)c1ccc(C#N)cc1
P_0352,pFPh,pCF3Ph,pCF3Ph,P(c1ccc(F)cc1)(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1
P_0353,pFPh,pCF3Ph,pCNPh,P(c1ccc(F)cc1)(c1ccc(C(F)(F)F)cc1)c1ccc(C#N)cc1
P_0354,pFPh,pCNPh,pCNPh,P(c1ccc(F)cc1)(c1ccc(C#N)cc1)c1ccc(C#N)cc1
P_0355,pClPh,pClPh,pClPh,P(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1ccc(Cl)cc1
P_0356,pClPh,pClPh,pCF3Ph,P(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1ccc(C(F)(F)F)cc1
P_0357,pClPh,pClPh,pCNPh,P(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1ccc(C#N)cc1
P_0358,pClPh,pCF3Ph,pCF3Ph,P(c1ccc(Cl)cc1)(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1
P_0359,pClPh,pCF3Ph,pCNPh,P(c1ccc(Cl)cc1)(c1ccc(C(F)(F)F)cc1)c1ccc(C#N)cc1
P_0360,pClPh,pCNPh,pCNPh,P(c1ccc(Cl)cc1)(c1ccc(C#N)cc1)c1ccc(C#N)cc1
P_0361,pCF3Ph,pCF3Ph,pCF3Ph,P(c1ccc(C(F)(F)F)cc1)(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1
P_0362,pCF3Ph,pCF3Ph,pCNPh,P(c1ccc(C(F)(F)F)cc1)(c1ccc(C(F)(F)F)cc1)c1ccc(C#N)cc1
P_0363,pCF3Ph,pCNPh,pCNPh,P(c1ccc(C(F)(F)F)cc1)(c1ccc(C#N)cc1)c1ccc(C#N)cc1
P_0364,pCNPh,pCNPh,pCNPh,P(c1ccc(C#N)cc1)(c1ccc(C#N)cc1)c1ccc(C#N)cc1
