eval_in_export,param_candidate_id,obj_selectivity_proxy,obj_capacity_proxy,result_id,suggestion_id,created_at,phase,new_eval,candidate,selectivity_proxy,capacity_proxy_cm3_g,scalarized_desirability,best_so_far
32,pcu|N16|E85,0.9987658020854884,1.26201,a7f7a293-ff80-4df7-be92-025af984b93b,40e0daea-a961-456b-9849-4df487723d39,2026-08-12T16:36:36.410626+00:00,new,17,pcu_N16_E85,0.9987658020854884,1.26201,0.4366196896969952,0.4869260841444052
33,pcu|N16|E79,1.0,0.935094,3428d997-c465-414f-a490-bbdef242fa03,ebd09be7-85e1-4b68-acd4-91e2ecdfda3b,2026-08-12T16:36:38.186123+00:00,new,18,pcu_N16_E79,1.0,0.935094,0.3875628207776586,0.4869260841444052
34,pcu|N16|E88,0.9070914182877994,1.38478,c744f73f-6bfd-49c0-80a9-6f2d6a8f3fb8,655df543-fa5f-43f0-b3b0-0b9d1942c2c4,2026-08-12T16:36:39.483511+00:00,new,19,pcu_N16_E88,0.9070914182877994,1.38478,0.42770364156001156,0.4869260841444052
35,pcu|N180|E129,0.2265034481378095,2.8661,fb5d9bfc-45aa-4e14-a24e-e586e5189ff2,25833434-4eda-46c7-8e3a-fe61885fe9df,2026-08-12T16:36:44.391696+00:00,new,20,pcu_N180_E129,0.2265034481378095,2.8661,0.24886362699295111,0.4869260841444052
36,pcu|N180|E133,0.3663973592115803,2.46418,282e9223-90e7-4aa9-8971-5ebe2409e43a,94d23ba6-cc77-47de-98ee-a182a2b574c9,2026-08-12T16:36:51.444750+00:00,new,21,pcu_N180_E133,0.3663973592115803,2.46418,0.3126369982797662,0.4869260841444052
37,pcu|N180|E174,0.7228673992280666,1.78499,dc41caa4-206e-4fda-befc-2ab1b3184bf6,7dcdb547-a4dd-4fd5-a18d-22296d1119c8,2026-08-12T16:36:56.574183+00:00,new,22,pcu_N180_E174,0.7228673992280666,1.78499,0.4131326305089948,0.4869260841444052
38,pcu|N180|E147,0.9196589722460342,1.92663,7c1270e4-c0ca-4a68-af2b-fb4490d9e232,15d729f2-e462-4c77-91d5-4ffa885912f3,2026-08-12T16:37:00.041166+00:00,new,23,pcu_N180_E147,0.9196589722460342,1.92663,0.49214764890003304,0.49214764890003304
39,pcu|N180|E177,0.9272413205248202,1.70642,b3b52c89-af74-42e2-b1c4-65b72e472997,2cea8e53-b833-4e65-b931-65a705d184f1,2026-08-12T16:37:03.605018+00:00,new,24,pcu_N180_E177,0.9272413205248202,1.70642,0.4711400667288454,0.49214764890003304
40,pcu|N180|E167,1.0,0.835284,78d1cba2-9c7a-4b20-9192-f893162a9bb6,a19e184c-b5ea-4df5-853f-5cd163c59de0,2026-08-12T16:37:07.255176+00:00,new,25,pcu_N180_E167,1.0,0.835284,0.3704534681848736,0.49214764890003304
41,pcu|N180|E192,0.9825995668185168,1.51922,9d914b32-042a-40bc-9679-ee24561b2e4a,4ddedfc3-f7f8-40ae-9447-cef36b008f24,2026-08-12T16:37:13.125081+00:00,new,26,pcu_N180_E192,0.9825995668185168,1.51922,0.4656656558157081,0.49214764890003304
42,pcu|N180|E213,0.6459283751374392,1.84404,2d1f78ee-b0fe-4fc5-9252-78fe67be14d9,71bdaf80-7c51-493d-beb5-efdc7959d935,2026-08-12T16:37:17.779540+00:00,new,27,pcu_N180_E213,0.6459283751374392,1.84404,0.3912179318160324,0.49214764890003304
43,pcu|N180|E203,0.3278155448745958,3.67885,94fb97fe-f98b-459b-94c2-9dda90f9301f,2de6ff90-0a74-4009-92cb-5b378665ec33,2026-08-12T16:37:20.785584+00:00,new,28,pcu_N180_E203,0.3278155448745958,3.67885,0.34329111121140815,0.49214764890003304
44,pcu|N214|E192,0.9685708058799718,1.61891,a8f34c04-b474-4d02-a7b7-7b3804cb54bc,b6e7ee22-df25-4625-891f-3f244e7ba694,2026-08-12T16:37:22.738961+00:00,new,29,pcu_N214_E192,0.9685708058799718,1.61891,0.47355225288369396,0.49214764890003304
45,pcu|N180|E226,1.0,0.468781,4ff2f4a8-1941-4ef1-8e46-ebc5ed34ae92,d37cc264-3272-47c2-8016-1131e1e8176e,2026-08-12T16:37:26.091969+00:00,new,30,pcu_N180_E226,1.0,0.468781,0.2940275332794645,0.49214764890003304
46,pcu|N180|E4,0.3099608257566635,3.81315,835572f9-24f7-4f4a-b4c4-8194fef8922b,8f6babe4-83f2-4db8-9f81-a69bdcf3f215,2026-08-12T16:37:32.840208+00:00,new,31,pcu_N180_E4,0.3099608257566635,3.81315,0.33674227483042457,0.49214764890003304
47,pcu|N47|E79,0.9379747229851836,1.52592,0cdcccf0-b2e0-4bba-b333-f78ec60db0e4,13dd8d62-cd30-406b-9d2e-9975d67be70c,2026-08-12T16:37:36.152305+00:00,new,32,pcu_N47_E79,0.9379747229851836,1.52592,0.4536567603602127,0.49214764890003304
48,pcu|N214|E174,0.6903322470037281,1.84841,fa1a9b49-ea79-440b-8c2d-613458972427,05759740-e6be-403d-ac4d-a0920cbfbb36,2026-08-12T16:37:39.484030+00:00,new,33,pcu_N214_E174,0.6903322470037281,1.84841,0.40752496633591184,0.49214764890003304
49,pcu|N180|E50,1.0,0.932292,7a243750-842d-4e47-a811-23514d16cd42,6de75aef-e0e1-4e9e-a3c0-f622504078f6,2026-08-12T16:37:41.599944+00:00,new,34,pcu_N180_E50,1.0,0.932292,0.3870978712434066,0.49214764890003304
