exit_code=0

=== stdout (raw) ===
144
| 80 | ophen__Me__pCF3Ph | 1,2-phenylene | Me | p-CF3-Ph | Me2P-1,2-phenylene-Pp-CF3-Ph2 | no |
| 81 | ophen__Et__Et | 1,2-phenylene | Et | Et | Et2P-1,2-phenylene-PEt2 | yes |
| 82 | ophen__Et__iPr | 1,2-phenylene | Et | iPr | Et2P-1,2-phenylene-PiPr2 | no |
| 83 | ophen__Et__Cy | 1,2-phenylene | Et | Cy | Et2P-1,2-phenylene-PCy2 | no |
| 84 | ophen__Et__Ph | 1,2-phenylene | Et | Ph | Et2P-1,2-phenylene-PPh2 | no |
| 85 | ophen__Et__pTol | 1,2-phenylene | Et | p-Tol | Et2P-1,2-phenylene-Pp-Tol2 | no |
| 86 | ophen__Et__pAnisyl | 1,2-phenylene | Et | p-Anisyl | Et2P-1,2-phenylene-Pp-Anisyl2 | no |
| 87 | ophen__Et__pCF3Ph | 1,2-phenylene | Et | p-CF3-Ph | Et2P-1,2-phenylene-Pp-CF3-Ph2 | no |
| 88 | ophen__iPr__iPr | 1,2-phenylene | iPr | iPr | iPr2P-1,2-phenylene-PiPr2 | yes |
| 89 | ophen__iPr__Cy | 1,2-phenylene | iPr | Cy | iPr2P-1,2-phenylene-PCy2 | no |
| 90 | ophen__iPr__Ph | 1,2-phenylene | iPr | Ph | iPr2P-1,2-phenylene-PPh2 | no |
| 91 | ophen__iPr__pTol | 1,2-phenylene | iPr | p-Tol | iPr2P-1,2-phenylene-Pp-Tol2 | no |
| 92 | ophen__iPr__pAnisyl | 1,2-phenylene | iPr | p-Anisyl | iPr2P-1,2-phenylene-Pp-Anisyl2 | no |
| 93 | ophen__iPr__pCF3Ph | 1,2-phenylene | iPr | p-CF3-Ph | iPr2P-1,2-phenylene-Pp-CF3-Ph2 | no |
| 94 | ophen__Cy__Cy | 1,2-phenylene | Cy | Cy | Cy2P-1,2-phenylene-PCy2 | yes |
| 95 | ophen__Cy__Ph | 1,2-phenylene | Cy | Ph | Cy2P-1,2-phenylene-PPh2 | no |
| 96 | ophen__Cy__pTol | 1,2-phenylene | Cy | p-Tol | Cy2P-1,2-phenylene-Pp-Tol2 | no |
| 97 | ophen__Cy__pAnisyl | 1,2-phenylene | Cy | p-Anisyl | Cy2P-1,2-phenylene-Pp-Anisyl2 | no |
| 98 | ophen__Cy__pCF3Ph | 1,2-phenylene | Cy | p-CF3-Ph | Cy2P-1,2-phenylene-Pp-CF3-Ph2 | no |
| 99 | ophen__Ph__Ph | 1,2-phenylene | Ph | Ph | Ph2P-1,2-phenylene-PPh2 | yes |
| 100 | ophen__Ph__pTol | 1,2-phenylene | Ph | p-Tol | Ph2P-1,2-phenylene-Pp-Tol2 | no |
| 101 | ophen__Ph__pAnisyl | 1,2-phenylene | Ph | p-Anisyl | Ph2P-1,2-phenylene-Pp-Anisyl2 | no |
| 102 | ophen__Ph__pCF3Ph | 1,2-phenylene | Ph | p-CF3-Ph | Ph2P-1,2-phenylene-Pp-CF3-Ph2 | no |
| 103 | ophen__pTol__pTol | 1,2-phenylene | p-Tol | p-Tol | p-Tol2P-1,2-phenylene-Pp-Tol2 | yes |
| 104 | ophen__pTol__pAnisyl | 1,2-phenylene | p-Tol | p-Anisyl | p-Tol2P-1,2-phenylene-Pp-Anisyl2 | no |
| 105 | ophen__pTol__pCF3Ph | 1,2-phenylene | p-Tol | p-CF3-Ph | p-Tol2P-1,2-phenylene-Pp-CF3-Ph2 | no |
| 106 | ophen__pAnisyl__pAnisyl | 1,2-phenylene | p-Anisyl | p-Anisyl | p-Anisyl2P-1,2-phenylene-Pp-Anisyl2 | yes |
| 107 | ophen__pAnisyl__pCF3Ph | 1,2-phenylene | p-Anisyl | p-CF3-Ph | p-Anisyl2P-1,2-phenylene-Pp-CF3-Ph2 | no |
| 108 | ophen__pCF3Ph__pCF3Ph | 1,2-phenylene | p-CF3-Ph | p-CF3-Ph | p-CF3-Ph2P-1,2-phenylene-Pp-CF3-Ph2 | yes |
| 109 | cchex__Me__Me | cis-1,2-cyclohexylene | Me | Me | Me2P-cis-1,2-cyclohexylene-PMe2 | yes |
| 110 | cchex__Me__Et | cis-1,2-cyclohexylene | Me | Et | Me2P-cis-1,2-cyclohexylene-PEt2 | no |
| 111 | cchex__Me__iPr | cis-1,2-cyclohexylene | Me | iPr | Me2P-cis-1,2-cyclohexylene-PiPr2 | no |
| 112 | cchex__Me__Cy | cis-1,2-cyclohexylene | Me | Cy | Me2P-cis-1,2-cyclohexylene-PCy2 | no |
| 113 | cchex__Me__Ph | cis-1,2-cyclohexylene | Me | Ph | Me2P-cis-1,2-cyclohexylene-PPh2 | no |
| 114 | cchex__Me__pTol | cis-1,2-cyclohexylene | Me | p-Tol | Me2P-cis-1,2-cyclohexylene-Pp-Tol2 | no |
| 115 | cchex__Me__pAnisyl | cis-1,2-cyclohexylene | Me | p-Anisyl | Me2P-cis-1,2-cyclohexylene-Pp-Anisyl2 | no |
| 116 | cchex__Me__pCF3Ph | cis-1,2-cyclohexylene | Me | p-CF3-Ph | Me2P-cis-1,2-cyclohexylene-Pp-CF3-Ph2 | no |
| 117 | cchex__Et__Et | cis-1,2-cyclohexylene | Et | Et | Et2P-cis-1,2-cyclohexylene-PEt2 | yes |
| 118 | cchex__Et__iPr | cis-1,2-cyclohexylene | Et | iPr | Et2P-cis-1,2-cyclohexylene-PiPr2 | no |
| 119 | cchex__Et__Cy | cis-1,2-cyclohexylene | Et | Cy | Et2P-cis-1,2-cyclohexylene-PCy2 | no |
| 120 | cchex__Et__Ph | cis-1,2-cyclohexylene | Et | Ph | Et2P-cis-1,2-cyclohexylene-PPh2 | no |
| 121 | cchex__Et__pTol | cis-1,2-cyclohexylene | Et | p-Tol | Et2P-cis-1,2-cyclohexylene-Pp-Tol2 | no |
| 122 | cchex__Et__pAnisyl | cis-1,2-cyclohexylene | Et | p-Anisyl | Et2P-cis-1,2-cyclohexylene-Pp-Anisyl2 | no |
| 123 | cchex__Et__pCF3Ph | cis-1,2-cyclohexylene | Et | p-CF3-Ph | Et2P-cis-1,2-cyclohexylene-Pp-CF3-Ph2 | no |
| 124 | cchex__iPr__iPr | cis-1,2-cyclohexylene | iPr | iPr | iPr2P-cis-1,2-cyclohexylene-PiPr2 | yes |
