attempt_index,success_index,molecule_key,objective,delta_est_ev,best_objective_so_far,best_delta_so_far,is_new_best,status
31,30,OSFMDCVCBCMQAU-UHFFFAOYSA-N,-0.4964414997573332,0.4964414997573332,-0.2267869324879579,0.2267869324879579,False,success
32,31,RPTBODQPVWBDCE-UHFFFAOYSA-N,-0.2649556291511001,0.2649556291511001,-0.2267869324879579,0.2267869324879579,False,success
33,32,YAPKFDISPNDBAO-UHFFFAOYSA-N,-0.2948971873195651,0.2948971873195651,-0.2267869324879579,0.2267869324879579,False,success
34,33,KJHNXTWSXSOLOY-UHFFFAOYSA-N,-0.3206665183664194,0.3206665183664194,-0.2267869324879579,0.2267869324879579,False,success
35,34,NFVAOZHVIPENHN-UHFFFAOYSA-N,-0.2821154941991999,0.2821154941991999,-0.2267869324879579,0.2267869324879579,False,success
36,35,MEAXUEXYUDPEPU-UHFFFAOYSA-N,-0.3834603128676703,0.3834603128676703,-0.2267869324879579,0.2267869324879579,False,success
37,36,RMSXYWWMTBMFED-UHFFFAOYSA-N,-0.2318829996721805,0.2318829996721805,-0.2267869324879579,0.2267869324879579,False,success
38,37,WGKMZGAJDYWUCE-UHFFFAOYSA-N,-0.2232308199591746,0.2232308199591746,-0.2232308199591746,0.2232308199591746,True,success
39,38,QCWXRFCFKSVXNS-UHFFFAOYSA-N,-0.2415604980986294,0.2415604980986294,-0.2232308199591746,0.2232308199591746,False,success
40,39,VLSAKTJCRGDWDN-UHFFFAOYSA-N,-0.3516031594560833,0.3516031594560833,-0.2232308199591746,0.2232308199591746,False,success
