i,element_i,j,element_j,distance_A
29,H,39,C,6.944415
28,H,41,H,6.946927
13,H,16,H,6.947661
17,H,22,H,6.948448
14,H,33,H,6.953253
12,H,19,C,6.962586
26,H,29,H,6.963354
2,P,12,H,6.966467
30,H,35,C,6.979112
12,H,22,H,6.979241
13,H,25,H,6.981239
3,P,15,H,6.986516
2,P,14,H,6.986888
34,H,37,H,6.990122
3,P,17,H,7.007141
11,H,37,H,7.014478
31,C,38,H,7.032965
12,H,20,C,7.036057
14,H,20,C,7.074124
30,H,37,H,7.078884
17,H,18,C,7.101593
7,C,25,H,7.114085
29,H,41,H,7.126879
15,H,28,H,7.128710
13,H,33,H,7.150951
30,H,36,H,7.152265
13,H,23,H,7.153440
10,C,19,C,7.172001
34,H,42,H,7.188178
27,C,38,H,7.189478
29,H,37,H,7.190313
34,H,36,H,7.212025
10,C,39,C,7.218033
16,H,21,H,7.225905
6,C,30,H,7.230899
28,H,38,H,7.231985
12,H,37,H,7.234701
32,H,35,C,7.249455
9,C,31,C,7.250690
14,H,19,C,7.261042
16,H,19,C,7.301959
15,H,18,C,7.302226
8,C,37,H,7.305950
12,H,18,C,7.310027
14,H,37,H,7.360844
15,H,24,H,7.365501
8,C,25,H,7.376429
10,C,21,H,7.389093
9,C,25,H,7.395046
26,H,32,H,7.396682
9,C,23,H,7.403425
14,H,18,C,7.415836
12,H,33,H,7.417621
32,H,36,H,7.456494
34,H,38,H,7.475654
11,H,25,H,7.482092
27,C,42,H,7.490708
9,C,32,H,7.490854
15,H,39,C,7.560754
32,H,42,H,7.562083
17,H,19,C,7.595836
14,H,31,C,7.615486
16,H,39,C,7.633151
9,C,29,H,7.658910
32,H,37,H,7.660535
10,C,36,H,7.673396
10,C,41,H,7.696421
13,H,31,C,7.707950
29,H,38,H,7.734300
13,H,21,H,7.746335
9,C,21,H,7.781112
10,C,42,H,7.791329
28,H,42,H,7.815683
14,H,32,H,7.818793
30,H,38,H,7.850083
9,C,27,C,7.858429
10,C,20,C,7.860413
12,H,31,C,7.864636
10,C,35,C,7.865679
12,H,23,H,7.878940
17,H,39,C,7.892916
32,H,38,H,7.899987
17,H,21,H,7.925927
29,H,42,H,7.949899
15,H,19,C,7.953905
17,H,36,H,7.970045
12,H,29,H,7.981660
15,H,41,H,7.996055
16,H,41,H,8.001056
12,H,32,H,8.005867
30,H,42,H,8.017886
10,C,23,H,8.036025
15,H,42,H,8.047347
14,H,25,H,8.078262
13,H,32,H,8.079288
16,H,20,C,8.083941
16,H,23,H,8.102574
12,H,25,H,8.116754
16,H,36,H,8.133634
13,H,29,H,8.168409
15,H,21,H,8.193028
9,C,34,H,8.228250
13,H,27,C,8.237530
9,C,28,H,8.238841
10,C,38,H,8.247672
14,H,29,H,8.259178
16,H,35,C,8.271693
12,H,27,C,8.277554
14,H,23,H,8.283739
17,H,35,C,8.302290
10,C,26,H,8.307286
16,H,42,H,8.316718
15,H,36,H,8.324602
12,H,21,H,8.361740
17,H,20,C,8.386252
17,H,23,H,8.397102
17,H,42,H,8.423534
15,H,35,C,8.452627
17,H,41,H,8.470421
14,H,27,C,8.488258
15,H,20,C,8.502594
14,H,21,H,8.513244
13,H,28,H,8.540463
12,H,28,H,8.586414
14,H,34,H,8.586893
13,H,34,H,8.617894
16,H,26,H,8.652225
9,C,30,H,8.683254
17,H,38,H,8.710926
15,H,38,H,8.722505
10,C,37,H,8.727021
10,C,25,H,8.728213
16,H,38,H,8.743975
17,H,26,H,8.755720
16,H,25,H,8.862601
15,H,23,H,8.873032
12,H,34,H,8.881728
15,H,26,H,8.923957
14,H,28,H,8.973830
16,H,37,H,9.042892
13,H,30,H,9.071213
12,H,30,H,9.165528
17,H,37,H,9.176820
14,H,30,H,9.233473
17,H,25,H,9.301039
15,H,37,H,9.357078
15,H,25,H,9.368388
