run_id,phase,bo_campaign_id,platform_campaign,sample_or_note,status,success,submitted_to_bo,requested_at,started_at,finished_at,run_min,occupied_min,catalyst,catalyst_equiv,oxidant,oxidant_equiv,TFAA_equiv,light_intensity_pct,residence_time_min,slug_volume_uL,SM_conc_mM,collect_crude,n_SM_umol,SM_mg,SM_stock_uL,catalyst_umol,catalyst_mg,catalyst_stock_uL,TFAA_umol,TFAA_mg,TFAA_stock_uL,oxidant_umol,oxidant_mg,oxidant_stock_uL,yield_pct,green_score,nmr_pass,nmr_peak_width_ppm,notes
R0048,yield + green score,b681a41d-90db-4eb9-a9a9-3cc91098f3c0,,BO-MCP RoboChemFlex yield optimization seed05_b681a41d,completed,True,,2026-07-24T21:33:03.477098+00:00,2026-07-24T21:48:16.206562+00:00,2026-07-24T22:34:03.304852+00:00,45.78,61.0,Ru bpy PF6,0.0035,4-Ph py NO,1.2,3.0,75.0,20.0,650.0,100.0,False,65.0,13.6013,65.28,0.2275,0.19555,65.18,195.0,40.9558,55.15,78.0,13.3536,49.46,13.136061617657441,51.567703130203135,,,
R0049,yield + green score,b681a41d-90db-4eb9-a9a9-3cc91098f3c0,,BO-MCP RoboChemFlex yield optimization seed06_b681a41d,completed,True,,2026-07-24T22:34:31.396302+00:00,2026-07-24T22:49:39.750752+00:00,2026-07-25T00:56:57.150502+00:00,127.29,142.43,4CzIPN,0.0015,4-Ph py NO,2.5,1.7,50.0,90.0,650.0,100.0,False,65.0,13.6013,65.28,0.0975,0.07448,15.85,110.5,23.2083,31.25,162.5,27.82,103.04,7.574024955754647,56.59340659340659,,,
R0050,yield + green score,b681a41d-90db-4eb9-a9a9-3cc91098f3c0,,BO-MCP RoboChemFlex yield optimization bo_761b6759-b,completed,True,,2026-07-25T00:58:39.176291+00:00,2026-07-25T01:12:23.537235+00:00,2026-07-25T01:35:40.091834+00:00,23.28,37.02,Ru bpy Cl,0.001,py NO,0.9,0.9,100.0,2.0,650.0,100.0,False,65.0,13.6013,65.28,0.065,0.04866,22.95,58.5,12.2868,16.55,58.5,5.5633,29.66,15.229219976533518,100.0,,,
R0051,yield + green score,b681a41d-90db-4eb9-a9a9-3cc91098f3c0,,BO-MCP RoboChemFlex yield optimization bo_6185a2d1-0,completed,True,,2026-07-25T01:37:17.040496+00:00,2026-07-25T01:51:06.584836+00:00,2026-07-25T02:49:50.817947+00:00,58.74,72.56,Ru bpy Cl,0.001,py NO,0.9,0.9,75.0,32.1471,650.0,100.0,False,65.0,13.6013,65.28,0.065,0.04866,22.95,58.5,12.2868,16.55,58.5,5.5633,29.66,27.638363856448734,93.57670454545455,,,
R0052,yield + green score,b681a41d-90db-4eb9-a9a9-3cc91098f3c0,,BO-MCP RoboChemFlex yield optimization bo_b5aa81fc-1,completed,True,,2026-07-25T02:51:49.937782+00:00,2026-07-25T03:05:37.396473+00:00,2026-07-25T03:28:55.973676+00:00,23.31,37.1,Ru bpy Cl,0.001,py NO,0.9,0.9,50.0,2.0,650.0,100.0,False,65.0,13.6013,65.28,0.065,0.04866,22.95,58.5,12.2868,16.55,58.5,5.5633,29.66,11.557190298459707,,,,
R0053,yield + green score,ccbfc92e-c646-4943-a44d-9277f2f2d8d4,robochemflex_yield_bo_fresh_20260724T155503Z-20260724-175502,BO-MCP RoboChemFlex yield optimization bo_98f9b554-6,completed,True,yes,2026-07-25T05:30:39.266421+00:00,2026-07-25T05:30:42.819043+00:00,2026-07-25T05:54:28.770997+00:00,23.77,23.83,Ru bpy Cl,0.001,py NO,1.3481518445267229,0.9,75.0,2.0,650.0,100.0,False,65.0,13.6013,65.28,0.065,0.04866,22.95,58.5,12.2868,16.55,87.6299,8.3336,44.42,14.699271910593101,94.6648589937295,True,0.09973330209832909,
R0054,yield + green score,ccbfc92e-c646-4943-a44d-9277f2f2d8d4,robochemflex_yield_bo_fresh_20260724T155503Z-20260724-175502,BO-MCP RoboChemFlex yield optimization bo_37550193-5,completed,True,yes,2026-07-25T05:56:13.952952+00:00,2026-07-25T06:10:05.267494+00:00,2026-07-25T06:33:21.550931+00:00,23.27,37.13,Ru bpy Cl,0.001,py NO,0.9,1.3879550089626604,75.0,2.0,650.0,100.0,False,65.0,13.6013,65.28,0.065,0.04866,22.95,90.2171,18.9483,25.52,58.5,5.5633,29.66,15.82322454684414,95.30812491382056,True,0.11548066558754044,
R0055,yield + green score,ccbfc92e-c646-4943-a44d-9277f2f2d8d4,robochemflex_yield_bo_fresh_20260724T155503Z-20260724-175502,BO-MCP RoboChemFlex yield optimization bo_8d4c74c6-0,completed,True,yes,2026-07-25T06:36:34.462859+00:00,2026-07-25T06:48:57.923606+00:00,2026-07-25T07:27:50.586785+00:00,38.88,51.27,Ru bpy Cl,0.001,py NO,0.9,0.9392429564290667,75.0,15.3843,650.0,100.0,False,65.0,13.6013,65.28,0.065,0.04866,22.95,61.0508,12.8225,17.27,58.5,5.5633,29.66,32.9582189108561,96.77074626685338,True,0.10498242326139717,
R0056,yield + green score,ccbfc92e-c646-4943-a44d-9277f2f2d8d4,robochemflex_yield_bo_fresh_20260724T155503Z-20260724-175502,BO-MCP RoboChemFlex yield optimization bo_17fa2ce7-9,completed,True,yes,2026-07-25T07:31:53.682942+00:00,2026-07-25T07:43:32.004627+00:00,2026-07-25T08:24:29.208592+00:00,40.95,52.59,Ru bpy Cl,0.001,py NO,0.9,0.9,100.0,17.1488,650.0,100.0,False,65.0,13.6013,65.28,0.065,0.04866,22.95,58.5,12.2868,16.55,58.5,5.5633,29.66,27.19849254238004,95.6964962121212,True,0.11023154442446526,
R0057,yield + green score,ccbfc92e-c646-4943-a44d-9277f2f2d8d4,robochemflex_yield_bo_fresh_20260724T155503Z-20260724-175502,BO-MCP RoboChemFlex yield optimization bo_c719dfd0-1,completed,True,yes,2026-07-25T08:27:13.848052+00:00,2026-07-25T08:40:00.708695+00:00,2026-07-25T09:25:13.583194+00:00,45.21,58.0,Ru bpy Cl,0.001,py NO,0.9,0.9,50.0,20.7924,650.0,100.0,False,65.0,13.6013,65.28,0.065,0.04866,22.95,58.5,12.2868,16.55,58.5,5.5633,29.66,32.68287722998345,97.33072916666666,True,0.09973330209832909,
R0058,yield + green score,ccbfc92e-c646-4943-a44d-9277f2f2d8d4,robochemflex_yield_bo_fresh_20260724T155503Z-20260724-175502,BO-MCP RoboChemFlex yield optimization bo_9fdbf22f-9,completed,True,yes,2026-07-25T09:28:48.616992+00:00,2026-07-25T09:40:55.024059+00:00,2026-07-25T10:22:49.351533+00:00,41.91,54.01,Ru bpy Cl,0.001,py NO,0.9,1.57791518151435,50.0,17.8907,650.0,100.0,False,65.0,13.6013,65.28,0.065,0.04866,22.95,102.5645,21.5416,29.01,58.5,5.5633,29.66,35.77595269858751,91.22448252040398,True,0.09973330209832909,
R0059,yield + green score,ccbfc92e-c646-4943-a44d-9277f2f2d8d4,robochemflex_yield_bo_fresh_20260724T155503Z-20260724-175502,BO-MCP RoboChemFlex yield optimization bo_2584b3ce-3,completed,True,yes,2026-07-25T10:25:08.491609+00:00,2026-07-25T10:38:30.874687+00:00,2026-07-25T11:19:06.991486+00:00,40.6,53.97,Ru bpy Cl,0.0015895931399105652,py NO,0.9,1.588655546840804,50.0,16.3965,650.0,100.0,False,65.0,13.6013,65.28,0.10332,0.07735,36.49,103.2626,21.6882,29.21,58.5,5.5633,29.66,36.54768450235394,86.42005482308022,True,0.10498242326139717,
R0060,yield + green score,ccbfc92e-c646-4943-a44d-9277f2f2d8d4,robochemflex_yield_bo_fresh_20260724T155503Z-20260724-175502,BO-MCP RoboChemFlex yield optimization bo_a9f8598d-e,failed,False,,2026-07-25T11:21:23.639885+00:00,2026-07-25T11:34:48.464261+00:00,2026-07-25T12:15:22.266628+00:00,40.56,53.98,Ru bpy Cl,0.0012551564527834074,py NO,1.4410604139317433,1.6156597192651254,50.0,16.4286,650.0,100.0,False,65.0,13.6013,65.28,0.08159,0.06108,28.81,105.0179,22.0569,29.7,93.6689,8.9079,47.48,25.027637631355404,,False,0.33069463327341,failed analysis; measurement retried as R0061
R0061,yield + green score,ccbfc92e-c646-4943-a44d-9277f2f2d8d4,robochemflex_yield_bo_fresh_20260724T155503Z-20260724-175502,BO-MCP RoboChemFlex yield optimization bo_a9f8598d-e retry r2 after failed R0060; original suggestion a9f8598d-edd7-48fa-bbf6-b94ca3618912,completed,True,yes,2026-07-25T15:08:37.411601+00:00,2026-07-25T15:08:40.912313+00:00,2026-07-25T15:49:13.681993+00:00,40.55,40.6,Ru bpy Cl,0.0012551564527834074,py NO,1.4410604139317433,1.6156597192651254,50.0,16.4286,650.0,100.0,False,65.0,13.6013,65.28,0.08159,0.06108,28.81,105.0179,22.0569,29.7,93.6689,8.9079,47.48,48.50520336395255,82.50167820171659,True,0.10498242326139717,
R0062,yield + green score,ccbfc92e-c646-4943-a44d-9277f2f2d8d4,robochemflex_yield_bo_fresh_20260724T155503Z-20260724-175502,BO-MCP RoboChemFlex yield optimization bo_bb5d0b0c-c,completed,True,yes,2026-07-25T15:53:05.088840+00:00,2026-07-25T16:04:55.193132+00:00,2026-07-25T16:46:10.333442+00:00,41.25,53.09,Ru bpy Cl,0.0010327647764327823,py NO,1.7504175843136747,1.576838763587787,50.0,17.0122,650.0,100.0,False,65.0,13.6013,65.28,0.06713,0.05025,23.71,102.4945,21.5269,28.99,113.7771,10.8202,57.68,20.17560599224093,80.96253728586693,True,0.17322099838130356,
R0063,yield + green score,ccbfc92e-c646-4943-a44d-9277f2f2d8d4,robochemflex_yield_bo_fresh_20260724T155503Z-20260724-175502,BO-MCP RoboChemFlex yield optimization bo_5c5570bd-d,failed,False,,2026-07-25T19:20:34.260954+00:00,2026-07-25T19:20:34.800776+00:00,2026-07-25T20:01:36.192879+00:00,41.02,41.03,Ru bpy Cl,0.0011562499295373239,py NO,1.29960973315381,1.5559624699508112,50.0,16.805,650.0,100.0,False,65.0,13.6013,65.28,0.07516,0.05626,26.54,101.1376,21.2419,28.61,84.4746,8.0335,42.82,27.04493570345765,,False,0.27820342164270784,failed NMR QC (peak width 0.278 ppm > 0.2 limit)
R0064,yield + green score,ccbfc92e-c646-4943-a44d-9277f2f2d8d4,robochemflex_yield_bo_fresh_20260724T155503Z-20260724-175502,BO-MCP RoboChemFlex yield optimization bo_5c5570bd-d retry r2 after failed R0063; original suggestion 5c5570bd-dd17-4366-8685-0863402167f6,failed,False,,2026-07-25T20:32:32.800479+00:00,2026-07-25T20:32:34.061494+00:00,2026-07-25T21:13:36.605246+00:00,41.04,41.06,Ru bpy Cl,0.0011562499295373239,py NO,1.29960973315381,1.5559624699508112,50.0,16.805,650.0,100.0,False,65.0,13.6013,65.28,0.07516,0.05626,26.54,101.1376,21.2419,28.61,84.4746,8.0335,42.82,25.690722565035262,,False,0.21521396768586953,"retry of R0063, failed NMR QC again (0.215 ppm)"
R0065,yield + green score,ccbfc92e-c646-4943-a44d-9277f2f2d8d4,robochemflex_yield_bo_fresh_20260724T155503Z-20260724-175502,BO-MCP RoboChemFlex yield optimization bo_5c5570bd-d retry r3 after failed R0064; original suggestion 5c5570bd-dd17-4366-8685-0863402167f6,completed,True,yes,2026-07-26T18:46:37.110691+00:00,2026-07-26T18:46:40.050416+00:00,2026-07-26T19:27:40.809906+00:00,41.01,41.06,Ru bpy Cl,0.0011562499295373239,py NO,1.29960973315381,1.5559624699508112,50.0,16.805,650.0,100.0,False,65.0,13.6013,65.28,0.07516,0.05626,26.54,101.1376,21.2419,28.61,84.4746,8.0335,42.82,45.093425213199836,85.53034412945391,True,0.11023154442447236,"third attempt of the same condition, passed"
R0066,yield + green score,ccbfc92e-c646-4943-a44d-9277f2f2d8d4,robochemflex_yield_bo_fresh_20260724T155503Z-20260724-175502,BO-MCP RoboChemFlex yield optimization bo_f20766bf-c,completed,True,yes,2026-07-26T19:34:06.924151+00:00,2026-07-26T19:43:32.253081+00:00,2026-07-26T20:27:41.041579+00:00,44.15,53.57,Ru bpy Cl,0.0012148856753842118,py NO,1.4011655894317083,1.4044945005711598,25.0,19.3907,650.0,100.0,False,65.0,13.6013,65.28,0.07897,0.05912,27.89,91.2921,19.1741,25.82,91.0758,8.6613,46.17,0.0,86.15703513480996,True,0.0,
