molecule_key,smiles_canonical,n_conformers_generated,selected_conformer_energy,S1_ev,T1_ev,delta_est_ev,objective,oscillator_strength,status,crest_wall_s,pyscf_wall_s,total_eval_wall_s,error_message
OSFMDCVCBCMQAU-UHFFFAOYSA-N,CN(C)C1=NC2=NC=CC3=CC=NC(=N1)N32,4,,2.7833466615056555,2.2869051617483223,0.4964414997573332,-0.4964414997573332,0.023802086329462346,success,99.76513293478638,346.75956256780773,446.5255594551563,
RPTBODQPVWBDCE-UHFFFAOYSA-N,CC1=NC2=NC(C)=NC3=C(C(F)(F)F)C=C(C(F)(F)F)C(=N1)N23,6,,2.6200539146596076,2.3550982855085074,0.26495562915110016,-0.26495562915110016,0.005173415366794989,success,160.42813154309988,526.5978072350845,687.027151861228,
YAPKFDISPNDBAO-UHFFFAOYSA-N,FC(F)(F)C1=CN=C2N=CN=C3C=CC=C1N32,2,,2.2283030992799406,1.9334059119603755,0.29489718731956516,-0.29489718731956516,0.0016498986673620375,success,68.30088169127703,305.49650725815445,373.7984054731205,
KJHNXTWSXSOLOY-UHFFFAOYSA-N,FC(F)(F)C1=CC2=CC=NC3=NC=CC(=C1)N23,2,,1.7494082113257856,1.4287416929593661,0.32066651836641946,-0.32066651836641946,0.004064491831573895,success,70.170997611247,350.8181721465662,420.9898738609627,
NFVAOZHVIPENHN-UHFFFAOYSA-N,CC1=CN=C2N=CC=C3C=CC=C1N32,2,,1.8352264473463578,1.5531109531471579,0.2821154941991999,-0.2821154941991999,0.002712199772731756,success,62.99121587257832,192.78015922848135,255.77238553762436,
MEAXUEXYUDPEPU-UHFFFAOYSA-N,CN(C)C1=CN=C2N=CN=C3N=CC=C1N32,2,,2.1540129794873386,1.7705526666196683,0.38346031286767035,-0.38346031286767035,0.006769122085923073,success,96.45385452639312,290.96455230377614,387.419520156458,
RMSXYWWMTBMFED-UHFFFAOYSA-N,C#CC1=CC=C2C=CC=C3C=CC=C1N32,2,,1.3772421387974194,1.145359139125239,0.2318829996721805,-0.2318829996721805,0.0008769722051448663,success,70.78857390210032,209.07219413202256,279.8616104023531,
WGKMZGAJDYWUCE-UHFFFAOYSA-N,CS(=O)C1=CC=C2C=CC=C3C=CC=C1N32,4,,1.3980195029632816,1.174788683004107,0.2232308199591746,-0.2232308199591746,0.00023388124970220013,success,107.64474599808455,278.6284670829773,386.2744595920667,
QCWXRFCFKSVXNS-UHFFFAOYSA-N,CS(=O)C1=CC2=CC=CC3=CC=CC(=C1)N32,4,,1.3051812590544583,1.0636207609558288,0.24156049809862945,-0.24156049809862945,7.003059235123335e-05,success,131.52671688981354,191.77433594688773,323.30205113627017,
VLSAKTJCRGDWDN-UHFFFAOYSA-N,Cc1ccc(C)n1C1=NC2=CC=CC3=NC(n4c(C)ccc4C)=NC(=N1)N23,4,,2.7349893108522507,2.3833861513961674,0.35160315945608334,-0.35160315945608334,0.028750791195777108,success,379.3835831368342,974.6519854115322,1354.036798685789,
XDPCAOJHJFQBCS-UHFFFAOYSA-N,CNC1=NC2=NC=CC3=CC=NC(=N1)N32,2,,,,,,,failed,63.1270171450451,,63.142383325845,"ModelRetry: run_pyscf_workflow failed: Traceback (most recent call last): |   File ""/app/domains/pyscf/tools/pyscf_workflow_tools.py"", line 442, in run_pyscf_workflow |     return run_pyscf( |            ^^^^^^^^^^ |   File ""/app/domains/pyscf/tools/pyscf_workflow_tools.py"", line 151, in run_pyscf |     with gpu_session_with_slot() as (gpu_id, slot_id, snapshot): |          ^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/opt/python/cpython-3.12.13-linux-x86_64-gnu/lib/python3.12/contextlib.py"", line 137, in __enter__ |     return next(self.gen) |            ^^^^^^^^^^^^^^ |   File ""/app/grafico/core/gpu/scheduler.py"", line 158, in gpu_session_with_slot |     cp.cuda.Device(gpu_id).use() |   File ""cupy/cuda/device.pyx"", line 185, in cupy.cuda.device.Device.use |   File ""cupy/cuda/device.pyx"", line 191, in cupy.cuda.device.Device.use |   File ""cupy_backends/cuda/api/runtime.pyx"", line 399, in cupy_backends.cuda.api.runtime.setDevice |   File ""cupy_backends/cuda/api/runtime.pyx"", line 146, in cupy_backends.cuda.api.runtime.check_status | cupy_backends.cuda.api.runtime.CUDARuntimeError: cudaErrorNoDevice: no CUDA-capable device is detected |  | Traceback (most recent call last): |   File ""/app/domains/pyscf/tools/pyscf_workflow_tools.py"", line 442, in run_pyscf_workflow |     return run_pyscf( |            ^^^^^^^^^^ |   File ""/app/domains/pyscf/tools/pyscf_workflow_tools.py"", line 151, in run_pyscf |     with gpu_session_with_slot() as (gpu_id, slot_id, snapshot): |          ^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/opt/python/cpython-3.12.13-linux-x86_64-gnu/lib/python3.12/contextlib.py"", line 137, in __enter__ |     return next(self.gen) |            ^^^^^^^^^^^^^^ |   File ""/app/grafico/core/gpu/scheduler.py"", line 158, in gpu_session_with_slot |     cp.cuda.Device(gpu_id).use() |   File ""cupy/cuda/device.pyx"", line 185, in cupy.cuda.device.Device.use |   File ""cupy/cuda/device.pyx"", line 191, in cupy.cuda.device.Device.use | cupy_backends.cuda.api.runtime.CUDARuntimeError: cudaErrorNoDevice: no CUDA-capable device is detected |  | The above exception was the direct cause of the following exception: |  | Traceback (most recent call last): |   File ""/app/.graphchat-workspaces/gallery_guest_1785801755289/pollice_lowest_conformer_gap/evaluation.py"", line 178, in _worker |     pyscf_result = run_pyscf_workflow( |                    ^^^^^^^^^^^^^^^^^^^ |   File ""/app/domains/pyscf/tools/pyscf_workflow_tools.py"", line 461, in run_pyscf_workflow |     raise ModelRetry(f""run_pyscf_workflow failed: {tb}"") from e | pydantic_ai.exceptions.ModelRetry: run_pyscf_workflow failed: Traceback (most recent call last): |   File ""/app/domains/pyscf/tools/pyscf_workflow_tools.py"", line 442, in run_pyscf_workflow |     return run_pyscf( |            ^^^^^^^^^^ |   File ""/app/domains/pyscf/tools/pyscf_workflow_tools.py"", line 151, in run_pyscf |     with gpu_session_with_slot() as (gpu_id, slot_id, snapshot): |          ^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/opt/python/cpython-3.12.13-linux-x86_64-gnu/lib/python3.12/contextlib.py"", line 137, in __enter__ |     return next(self.gen) |         "
OPPMQHHCEYGRSM-UHFFFAOYSA-N,C=CC1=CC=C2C=CC=C3C=CC=C1N32,4,,,,,,,failed,77.11497069895267,,77.12935883551836,"ModelRetry: run_pyscf_workflow failed: Traceback (most recent call last): |   File ""/app/domains/pyscf/tools/pyscf_workflow_tools.py"", line 442, in run_pyscf_workflow |     return run_pyscf( |            ^^^^^^^^^^ |   File ""/app/domains/pyscf/tools/pyscf_workflow_tools.py"", line 151, in run_pyscf |     with gpu_session_with_slot() as (gpu_id, slot_id, snapshot): |          ^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/opt/python/cpython-3.12.13-linux-x86_64-gnu/lib/python3.12/contextlib.py"", line 137, in __enter__ |     return next(self.gen) |            ^^^^^^^^^^^^^^ |   File ""/app/grafico/core/gpu/scheduler.py"", line 158, in gpu_session_with_slot |     cp.cuda.Device(gpu_id).use() |   File ""cupy/cuda/device.pyx"", line 185, in cupy.cuda.device.Device.use |   File ""cupy/cuda/device.pyx"", line 191, in cupy.cuda.device.Device.use |   File ""cupy_backends/cuda/api/runtime.pyx"", line 399, in cupy_backends.cuda.api.runtime.setDevice |   File ""cupy_backends/cuda/api/runtime.pyx"", line 146, in cupy_backends.cuda.api.runtime.check_status | cupy_backends.cuda.api.runtime.CUDARuntimeError: cudaErrorNoDevice: no CUDA-capable device is detected |  | Traceback (most recent call last): |   File ""/app/domains/pyscf/tools/pyscf_workflow_tools.py"", line 442, in run_pyscf_workflow |     return run_pyscf( |            ^^^^^^^^^^ |   File ""/app/domains/pyscf/tools/pyscf_workflow_tools.py"", line 151, in run_pyscf |     with gpu_session_with_slot() as (gpu_id, slot_id, snapshot): |          ^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/opt/python/cpython-3.12.13-linux-x86_64-gnu/lib/python3.12/contextlib.py"", line 137, in __enter__ |     return next(self.gen) |            ^^^^^^^^^^^^^^ |   File ""/app/grafico/core/gpu/scheduler.py"", line 158, in gpu_session_with_slot |     cp.cuda.Device(gpu_id).use() |   File ""cupy/cuda/device.pyx"", line 185, in cupy.cuda.device.Device.use |   File ""cupy/cuda/device.pyx"", line 191, in cupy.cuda.device.Device.use | cupy_backends.cuda.api.runtime.CUDARuntimeError: cudaErrorNoDevice: no CUDA-capable device is detected |  | The above exception was the direct cause of the following exception: |  | Traceback (most recent call last): |   File ""/app/.graphchat-workspaces/gallery_guest_1785801755289/pollice_lowest_conformer_gap/evaluation.py"", line 178, in _worker |     pyscf_result = run_pyscf_workflow( |                    ^^^^^^^^^^^^^^^^^^^ |   File ""/app/domains/pyscf/tools/pyscf_workflow_tools.py"", line 461, in run_pyscf_workflow |     raise ModelRetry(f""run_pyscf_workflow failed: {tb}"") from e | pydantic_ai.exceptions.ModelRetry: run_pyscf_workflow failed: Traceback (most recent call last): |   File ""/app/domains/pyscf/tools/pyscf_workflow_tools.py"", line 442, in run_pyscf_workflow |     return run_pyscf( |            ^^^^^^^^^^ |   File ""/app/domains/pyscf/tools/pyscf_workflow_tools.py"", line 151, in run_pyscf |     with gpu_session_with_slot() as (gpu_id, slot_id, snapshot): |          ^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/opt/python/cpython-3.12.13-linux-x86_64-gnu/lib/python3.12/contextlib.py"", line 137, in __enter__ |     return next(self.gen) |         "
DYHLIWPSYMMWJV-UHFFFAOYSA-N,BrC1=C2C=CC=C3C=CC=C(C=C1)N32,2,,,,,,,failed,70.97097966074944,,70.99482448864728,"ModelRetry: run_pyscf_workflow failed: Traceback (most recent call last): |   File ""/app/domains/pyscf/tools/pyscf_workflow_tools.py"", line 442, in run_pyscf_workflow |     return run_pyscf( |            ^^^^^^^^^^ |   File ""/app/domains/pyscf/tools/pyscf_workflow_tools.py"", line 151, in run_pyscf |     with gpu_session_with_slot() as (gpu_id, slot_id, snapshot): |          ^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/opt/python/cpython-3.12.13-linux-x86_64-gnu/lib/python3.12/contextlib.py"", line 137, in __enter__ |     return next(self.gen) |            ^^^^^^^^^^^^^^ |   File ""/app/grafico/core/gpu/scheduler.py"", line 158, in gpu_session_with_slot |     cp.cuda.Device(gpu_id).use() |   File ""cupy/cuda/device.pyx"", line 185, in cupy.cuda.device.Device.use |   File ""cupy/cuda/device.pyx"", line 191, in cupy.cuda.device.Device.use |   File ""cupy_backends/cuda/api/runtime.pyx"", line 399, in cupy_backends.cuda.api.runtime.setDevice |   File ""cupy_backends/cuda/api/runtime.pyx"", line 146, in cupy_backends.cuda.api.runtime.check_status | cupy_backends.cuda.api.runtime.CUDARuntimeError: cudaErrorNoDevice: no CUDA-capable device is detected |  | Traceback (most recent call last): |   File ""/app/domains/pyscf/tools/pyscf_workflow_tools.py"", line 442, in run_pyscf_workflow |     return run_pyscf( |            ^^^^^^^^^^ |   File ""/app/domains/pyscf/tools/pyscf_workflow_tools.py"", line 151, in run_pyscf |     with gpu_session_with_slot() as (gpu_id, slot_id, snapshot): |          ^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/opt/python/cpython-3.12.13-linux-x86_64-gnu/lib/python3.12/contextlib.py"", line 137, in __enter__ |     return next(self.gen) |            ^^^^^^^^^^^^^^ |   File ""/app/grafico/core/gpu/scheduler.py"", line 158, in gpu_session_with_slot |     cp.cuda.Device(gpu_id).use() |   File ""cupy/cuda/device.pyx"", line 185, in cupy.cuda.device.Device.use |   File ""cupy/cuda/device.pyx"", line 191, in cupy.cuda.device.Device.use | cupy_backends.cuda.api.runtime.CUDARuntimeError: cudaErrorNoDevice: no CUDA-capable device is detected |  | The above exception was the direct cause of the following exception: |  | Traceback (most recent call last): |   File ""/app/.graphchat-workspaces/gallery_guest_1785801755289/pollice_lowest_conformer_gap/evaluation.py"", line 178, in _worker |     pyscf_result = run_pyscf_workflow( |                    ^^^^^^^^^^^^^^^^^^^ |   File ""/app/domains/pyscf/tools/pyscf_workflow_tools.py"", line 461, in run_pyscf_workflow |     raise ModelRetry(f""run_pyscf_workflow failed: {tb}"") from e | pydantic_ai.exceptions.ModelRetry: run_pyscf_workflow failed: Traceback (most recent call last): |   File ""/app/domains/pyscf/tools/pyscf_workflow_tools.py"", line 442, in run_pyscf_workflow |     return run_pyscf( |            ^^^^^^^^^^ |   File ""/app/domains/pyscf/tools/pyscf_workflow_tools.py"", line 151, in run_pyscf |     with gpu_session_with_slot() as (gpu_id, slot_id, snapshot): |          ^^^^^^^^^^^^^^^^^^^^^^^ |   File ""/opt/python/cpython-3.12.13-linux-x86_64-gnu/lib/python3.12/contextlib.py"", line 137, in __enter__ |     return next(self.gen) |         "
